Model,Seed,Test AUC,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Confusion Matrix,training_time_seconds,num_params
Classic KAN,42,0.8747061991416982,0.7871239701092163,0.7837595858149402,0.7811142147734327,0.7864229357081478,0.44160348176956177,"[[20946, 5642], [5468, 20134]]",271.8973300457001,60
Classic KAN,123,0.8700954426467382,0.7806667944050585,0.7754477509465053,0.7789162561576355,0.7720099992188111,0.44791215658187866,"[[20978, 5610], [5837, 19765]]",1427.758781671524,120
Classic KAN,456,0.872444009511678,0.7858210385131251,0.7797177991486678,0.7868506880916395,0.7727130692914616,0.44536271691322327,"[[21229, 5359], [5819, 19783]]",1258.2436907291412,120
Classic KAN,789,0.8709176515294763,0.7823721019352367,0.7783199312983059,0.7778341265506749,0.7788063432544332,0.4466220438480377,"[[20893, 5695], [5663, 19939]]",384.20752906799316,60
Classic KAN,1024,0.8729258173869772,0.7849013220923549,0.7811269253265744,0.7798193709124883,0.7824388719631279,0.44394901394844055,"[[20932, 5656], [5570, 20032]]",586.5492961406708,75
Classic KAN,2048,0.8734580471789481,0.7860318068595517,0.781668524058107,0.7825406146016833,0.7807983751269432,0.4430716037750244,"[[21033, 5555], [5612, 19990]]",521.9616966247559,75
Classic KAN,4096,0.8691091320755496,0.7812032956505077,0.7770379771551303,0.7768711201343068,0.7772049058667292,0.44939202070236206,"[[20873, 5715], [5704, 19898]]",501.5973114967346,75
Classic KAN,8192,0.8727700438169799,0.7874880245257713,0.7827551759935754,0.785077207182429,0.7804468400906179,0.44422397017478943,"[[21118, 5470], [5621, 19981]]",804.9453647136688,90
Classic KAN,16384,0.8760530420258864,0.7892124928147155,0.7859102851026564,0.7831516890974674,0.7886883837200219,0.43931615352630615,"[[20997, 5591], [5410, 20192]]",782.5243873596191,90
Classic KAN,32768,0.8762098204350126,0.7865491473462349,0.7827782544263318,0.7815590686083639,0.7840012499023514,0.4383751153945923,"[[20978, 5610], [5530, 20072]]",432.1430125236511,75
Classic MLP,42,0.8543189102564104,0.76,0.7709923664122137,0.7112676056338029,0.8416666666666667,0.47370250887615567,"[[356, 164], [76, 404]]",273.8897776603699,25
Classic MLP,123,0.8495705158211008,0.749,0.7280606717226435,0.7813953488372093,0.6815415821501014,0.4991282623261344,"[[413, 94], [157, 336]]",296.1011347770691,25
Classic MLP,456,0.8611447843777382,0.761,0.7513007284079084,0.7951541850220264,0.7120315581854043,0.45975834786235414,"[[400, 93], [146, 361]]",67.6508686542511,25
Classic MLP,789,0.8577164496965621,0.768,0.7786259541984732,0.7259786476868327,0.8395061728395061,0.48295137430410184,"[[360, 154], [78, 408]]",93.13116931915283,25
Classic MLP,1024,0.8546045112781955,0.755,0.7225368063420159,0.7818627450980392,0.671578947368421,0.46060701370508367,"[[436, 89], [156, 319]]",258.84130477905273,25
Classic MLP,2048,0.8334274692656196,0.736,0.6986301369863014,0.7746835443037975,0.6361746361746362,0.5222150144627934,"[[430, 89], [175, 306]]",180.19713616371155,25
